,Text
22,aynen kanka ya yemin ederim telefon uçuyo suan :) turkcell farki yaa :)
23,fiber gucu hep hikaye tekirdag kapakli ilcesinde cekmiyor edge zor goruyoruz musteri hizmetleri direk dikme planimiz yok dedi yani hayal hep yalan hep yalan
24,bu kaniti yazdiginiz cevabi facebooktan acmak icin dakika bekledim
25,dur bi mesaj atayımda sevdiği zannetsin.-turkcel
26,hic memnun degilim internet kadar yavas ayrica merkezde bile cekmedigi yerler oluyor birlesim oldu diye hizlanir daha iyi ceker sandik olmadi gucunuz kadar
27,turk telekoma gecmeyi dusununlerin dikkatine sariyer subenize defa gidip defa olmus babamin hattini iptal icin dilekce verdigim halde tum belgeler tam hat hala calisiyor call centerdan surekli telefon aliyoruz parayi odememiz gerektigine dair vefat etmis olan yakinima hassasiyet gostermemenizi gectim yasal olarak verdigim dilekceyi defa kabul etmeyerek olmus insanin kullan madigi hatta fatura kesmeye devam ediyorsunuz call center sube sorumluluk aliyor ikisi birbirine yonlendiriyor hicbir sey icin tesekkur ederim facebookta boyle seyler paylasacak insanlardan olacagimi dusunmezdim ama musteri memnuniyetine vermediginiz degeri insanlar gorsun istedim saygilar
28,ihaleyi alip turk telekomu alinca ihalede verdigimiz parayi cikaramazsak korkusuyla millete tekrar tekrar fatura odettiler ucret aldilar kendi kafalarina isler ysptilar ayda yillik kar ettiler kolay para tatli geldi aliskanlik yapti ses edende olmayinca devlette arkasinda olunca bura devam etti sizde olayin icindesiniz
29,"00:00 da turkselden mesaj geldi *llah belani versin turksel -,-"
30,musteri hizmetleriniz berbat feberleniyor sarkisi caliyonuz inteenet para etmez sekilde
31,degerli musterimiz iletisim bilgileriniz tarafimiza ulasti kisa surede talebiniz ilgili size geri donus saglayacagiz iyi gunler dileriz
32,hattimla vodafone gectim yakinda diger hattimi tasiyacagim sehir merkezinde telefon cekmiyor fiber falan hikaye
33,gundur internet arizasini yapamayan asalak firma kimi aradiysam cevap yok telefonumu yaziyorum belki ilgilenen olur
34,nasil olsa cekmiyor her yere koyssniz olur koymazsaniz olur
35,merhaba size nasil yardimci olabiliriz
36,teknosada
37,bende takdir aldim
38,bu nasil hediye internetten dizi izledim kalmis
39,siz haklisiniz
40,telefon ekrani soguk havada calismiyormus
41,ariza var surekli konpuyor bagli oldugumuz sure saniye diyorum hizi mbite dusurup sorununuz cozuldu diyor supersin telekom baglanti sorularini tknik ekip gondermek yerine hizi dusurerek cozuyorsun fiber ultra hiper internet ucuyoruz
42,canim kizim dogdugunda heyecanlandim simsiyah sacli bembeyaz minicik miss kokuluydu
43,az fazla ver turkcellden sasma gerisi kandirmaca beri degismedi yillik tecrube
44,#turkcell bilgi mesajları b.kunu çıkardı ama gece gecede bu kadar yüklenilmez ki...
45,kesinlikle takip her gun kazandiriyor burak uslu burak uslu fotografi burak uslu iddaa tahminleri mac analisti takipci
46,#turkcell adam gibi saatlerde mesaj atmayı öğren artık!
47,yok ki internete giren tlf.yazdıklarınıza dışardayken cevap yazayım :):)turkcel reklamındaki çöpçünün bile iphone'u var:)
48,teknosa urun almadan once keske yorumlari okusaymisim musteri hizmetleri yardimci olmadigi gibi insan azarliyor tuketici haklari zerre umurlarinda degil gidin mahkemeye basvurun diyip hop siyriliyorlar
49,olan gitti ustun teknolojisi fiberleyememek tatli
50,ya bosuna reklami yaparsiniz samsunun gobeyinde endusuk hiz internete baglaniyoruz daha gecemedik habire hizdan bahsedin bosuna reklam verin yazik aldiniz paralara yazik
51,venus telefonu kullaniyorum memnunum beyaz esyalarim hepsi vestel tesekkurler vestel basarilar size
52,bende kazıkçı turkcell'liyim
53,sebebiyle telefonlarında kesik olması düşünülürse insanlar adsl gunlerini arar hale geldiler. superonline = berbat alt yapı..beceriksizlik !
54,ne fiberi otobuslerde wifi var ama kimse giremiyor diye koydunuz onu gectim reklam oyle fiber diye herkes ellerini saga sola titretir bacaklar rep yapar ayip kadar gecmise saygimiz olduk simdi uzaydan geldik kadar yalak reklam olmamisti rezillik
55,reklamnz sacma sapn bisey olmus aldgnz paraya yazik
56,bu kadar mı fakirlediniz? kampanya tanıtımı için ısrarla çaldırıp kapatıyorsunuz!yıllardır tonla para ödüyorum size yazıklar olsun!
57,kizgin olanlar gidebilirsiniz ulkeden sizi tutan yok
58,guzel konforlu yatak
59,vestel bulasmayin paraniz cope gider cunku bende cope atim
60,#turkcell #ozturkmatik reklami allah belanizi vermesin!! vapurda deli gibi guldurdun beni...
61,dusunuyorum dusunuyorum turkcell'in faturami neden bu saatte yolladigina anlam veremiyorum...
62,oha 4-0 mı :o burak hatrick'mi yaptı ? ordumuz yıkıldı mı ? türkcell süper lig feth mi edildi ? ovv yanaaaay :d
63,turk telekom internetini bagladik sanliurfa merkezdeyiz youtube bile girmiyor musteri hizmetlerini ariyoruz aydir teknik destek ekibi gelmiyor sorunu cozmeye lik mbps olmasi gerekirken aldigimiz internet mbps televizyonlarda yalan reklam yapmayin
64,evlere verdiginiz internet kadar yavaski insani kanser eder evimize fiber internet istiyoruz zahmet olmazsa
65,generaller aliniyor efendim
66,hayatimda kadar kotu reklam izlemedim
67,antalya agustosun ortasinda gundur mangal yelpazesiyle serinlemeye calisiyorum dayanilmaz sicagin icinde klimanin yedek parcasi neden antalya deposunda veya servislerde olmaz manisadan fabrikadan istenir haydi istendi diyelim kargolar gunde bazen ertesi gun teslim ederken umursamazlik gecikmeler neden cektigimiz eziyetin cilenin hesabi olacak satmak onemli degil arkasinda durmak onemli
68,bokum gibi internetiniz var turkcell kat daha guzel
69,samsung nasil telefon iyimi
70,merhaba konu hakkinda sizinle iletisime gecebilmemiz icin cep telefonu numaranizi facebook mesaj iletmenizi rica ederiz
71,kullanilmis urunde gondermekten vaz gecmiyorsunuz
72,mc donald's ajda pekkanı turkcell'ın yalını bızı oldurdu yeter artık tum albumlerı ezberledık :)
73,nisandan beri hediye kullanamiyorum musteri hizmetlerini aradigimda telefonumda hattimda sorun olmadigini sorunun kendi sistemlerinin henuz oturmadigindan oldugunu soylediler duzelecek dediler hala duzelmedi internet kaput calismiyorr
74,la normal internete zor girdik verdigi hediye internete kim bilir nasil girmislerdir gun nete giremedim gerisini siz dusunun
75,"galiba :) sen birde o telefonuna baksan,yazdıklarımla türkcell muhattap olmasa sadece ne güzel olur dimi :)"
76,almak istiyorum kargo imkani varmi fiyat kadar
77,merhaba iletmis oldugunuz irtibat numarasi uzerinden tarafiniza ulasilamamaktadir farkli irtibat numarasi iletebilir misiniz
78,sadece avea yken internet hizliydi birlestiniz internet hizi kotu oldu yavasssss
79,yav siz neyin reklamini yapiyosunuz zaten avea berbatti cekim gucu internet hizi turk telekom oldu iyice berbat oldu soyle reklamlarla halt becermis gibi ovunuyosunuz felan yav siz gidin ovundugunuz fiber internetinizin alt yapisini tamamlayin lan herkes fiber internet reklami yapiyo yuzlerce kez uyardigim ttnet hala mahalleme fiber altyapi gelmedi kadar berbatsiniz
80,butun beyaz esyam vestel memunum
81,"beni çaldırıp kapatan bi özel ders hocam bile var turkcell olsa odemeli atcak, kontor istegi falan yollıcak heralde. tüm manyaklar bende."
82,merhaba belirttiginiz urunle ilgili detayli bilgiye adresimizden ulasabilirsiniz ilginize tesekkur ederiz
83,merhaba bildiriminiz ilgili sizinle gorusmek detayli inceleme yapabilmek icin iletisim bilgilerinizi mesaj bolumunden iletmenizi rica ederiz tesekkurler
84,beklersin
85,rezil telekom tvbu trt kurdi var trt meclis yok sacmalardan secmeler sozlesme bitsin daha isim olmaz
86,unuttunuz galiba bizim yılbaşı geçeli 13-14 gün felan oldu. ?
87,adamlar ulkesinde gecmis sen gelip takiyorsun ona harcayacaginiz parayi alt yapiya verseydiniz guclendirseydiniz
88,siz nede sekilde internet vermiyorsunuz
89,xxx hattin tarife degisikligi icin hattin sahibi tarafindan bugun civarinda aranmasina ragmen arama yapilmayan hat icin her tahsis etmek icin degisiklik yapilmamistir hattin iptal edilmesi talebine ise telekom mudurlugune yasindaki kisinin yol gitmesi gerektigi soyleniyor islerine geldigi tum islemleri cagri merkezinden yapanlar aboneliklerini sonlandirmamak icin takla attiriyorlar bos yere yilda oduyoruz kisa zamanda hattin kapatilmasini saglayip yillik esaretten kurtulacagiz tum abonelerinin hatlarini kapatmasi dilegiyle
90,valla butun yorumlari okudum bizde ayni sorunlardan muzdaribiz hemen hemen ama turk telekom size soyluyorum herseye iletisim numarasi istiyonuz donus yapmiyorsunuz ama burda anket duzenlenip herkes onaylarsa baska hatta gecerlerse toplu olarak hem haberlere konu hem maddi zarar hemde musteri potansiyeli azalmasi yasarsiniz gibi geliyor tane memnun yok
91,merhaba ziya size nasil yardimci olabiliriz
92,hic birlesmeseydiniz keske video acilana kadar evde arkadaslarla okey oynuyoz
93,yalniz evlenmeden onceki tost aleti super hala ariyorum bulamadim guzel yapiyor ciden iyi
94,fiyatlardan haber umarim akillanmisinizdir
95,organizede internet cekim gucu zayif
96,eylul tasinma sebebi nakil basvurumuzu yaptik aydir evimizde internet var telefon keske direkt aboneligimizi bitirseymisiz kere hat dondurma islemi yaptik aydan itibaren faturalar gelmeye baslayacak simdi biz aydir alamadigimiz hizmetin odemesini yapmaya baslayacagiz altyapi sorunu sebebi aylardir oyalaniyoruz bizim bina haric cevremizdeki butun binalarda altyapiniz mevcut son aldigimiz habere gore proje cizilmis fakat sefer odenek yokmus yapalim biz kazalim konu ilgili gelisme olmayacaksa mahkemeye basvurarak her turlu yasal hakkimi kullanmak istiyorum bilginize
97,yaptim
98,sacma olmus yerde cekmiyor istanbul dayiz cekim gucu hiz felaket diger illeri dusunemiyorum zaten
99,merhaba konu hakkinda sizinle iletisime gecebilmemiz icin cep telefonu numaranizi facebook mesaj iletmenizi rica ederiz
100,fiber optikci lazim yarma baglanti seri temiz sekilde yapilir
101,hayirli ugurlu olsun
102,telekom soyguncular senin ben anani avradini
103,samsung
104,merhaba konuyla ilgili yardimci olabilmemiz icin iletisim soyad telefon bilgilerinizi ozel mesaj yoluyla paylasabilir misiniz
105,kilo problemi olanlar varsa bana ulassin kalmadan saglikli sekilde zayiflamak isteyen ciddi olanlar eklesin lutfen
106,j prime alinirmi abi nasil iyi telefon
107,"sabah vapurlarında ücretsiz dağıtılan gazeteleri okuyanlar, 1 milyon kişiye ulaştı. hayat okuduğunu paylaşınca güzel :)"
108,".))))yok canım,o kadar da degıldır.turkcell ,ttnet,ındırım sms'lerı bile yok mu ?"
109,tarife paket kapsaminda kalan kullanim hakkinizin bitimine limit asim sms leri yonlendirilmektedir gelen sms leri dikkate alip kullanim yapmaniz durumunda asim durumunun onune gecmis olacaksiniz tesekkurler
110,ben veriyorum getir
111,"polyanaya tecavüz etmişler ,hayat paylaşınca güzel demiş.."
112,turkcell'in premium musterisi olmamama ragmen cihaz temini icin gostermis oldugunuz ozel ilgiden dolayi cok tesekkur ederim.
113,karnelerimizi aldik oglum telefonu kizimda bebeklerini aldi teknosadan tesekkurler
114,gigabyte kim bulmus yalan dolan
115,ya ooof ne biliyim iste turkcell degil istee :d
116,istanbulda sehrin ortasinda evim kat gorusme yapamiyorum kardes cekmiyor
117,sabah uyandigimda turkcell'den gelen msji bile ozledim bee
118,begenmiyorum cunku reklamlarda supersiniz ama hafta sonu sinifta kaldiniz kullanamadiktan sonra neyin devri
119,venus kullaniyorum harika otesi basarilarinin devamini diliyorum kaliteli uretim icin tesekkurler vestel mesele memleket meselesi
120,turk telekom bey bizim internet ttnet zyxel oyun olsun video izlemek olsun yavas oyunlarda ping sorunu yasaniyo ping sabit civari bizim yasimizdaki cocuklarin ortak problemi hadi bunu gectim resim desen resim acilmiyor saatte aciliyor biz bosuna vermiyoruz geregi yapilsin lutfen
121,"""iyi geceler aşkım"" diye mesaj atan bi servisi olmalı turkcell'in."
122,numaramı taşırken yetkiliye 'bu operatör asansörde 4 diş çeker mi' diye sordum.sadece bakıştık.önemli bişey yok yani. söyleyeyim dedim
123,hicbir hattin cekmedigi yerde benim hattim cektiyo internet yeni kendine geldi ama memnunum koy kent dinlemiyo
124,cep telefonum basta olmak uzere buzdolabim camasir makinem bulasik makinam ankastre setim vestel vestel markasini neden kotulerler anlamis degilim fiyat performans orani uzerinden
125,bakil miyor
126,ozaman faturalarıda paylaşalım turkcell'le nede olsa hayat paylaşınca güzel:)
127,turkcelde bir hizmet daha ucretle sessz sedasiz bulusms oldu 7565 telesekreter aman dkt
128,burdan turk telekom yetkilerine sesleniyorum sikayet nmr ondan sora oldu daha sora oldu ama netice yok tivu iptal etmeme ragmen bende tam tivu parasi kestiler daha sora ozur dileriz paranizi iade ederiz faturadan duseriz dediler ama tam tersi yapip daha fatura cikartip kestiler tam haksiz fatura kestiler emde ayi once teslim etigim cihazin parasini kestiler sora yanlislik olmus dediler biz size tum parayi iade edelim dediler iban numarasi verin dediler hafta gondeririz dediler tam ayi oldu hayle para gondermediler tam gundur hergin ariyorum cagri merkezini kisa zamanda size donecekler diyorlar veya kendi kendine siz ibani degistirdiniz diyorlar sayre sayre bukadar olmaz hey yetkili bumudur turk telekom lutfen parami iade edin insanlarla bukadar dalga gecmeyin dip not bide benim internet telefon hatim var praim musteriyimisim eger iptal etsem hati aninda aranir iptal etmeyim diye dil dokersiniz lutfen parami iade edin bana nasil ulasacaginizi bilirsiniz siz lutfen yetkili turk telekom
129,bodrumun gobeginde cekim sorunu yasiyorum sen kalkmissin hiz bahsediyorsun kisa zamanda hattimi degistircem
130,guzel
131,"ufuk hanim,merhaba:)turkcell kurumsal hizmetler'le ilgili sorun çözüldü mü? merak ettim dogrusu..sevgiler;)"
132,hahaha turkcell beni seviyo :)
133,merhaba konuyla ilgili bilgi almak icin teknoasist merkezi iletisime gecebilirsiniz ilginize tesekkur ederiz
134,istanbul gibi yerde evimin ucuncu katinda sebeke cekmiyor birakin fiberi
135,goz boyaniyor yakinda faturalara alrinda envai boyda kaziklar yerlesrcek
136,babalarin babasi sakib agam nur nde yat allah yar yardimcin olsun
137,#turkcell #t20 kullanan kimler var ? 1 adım öne çıksanız ?
138,mutlu bayramlar dileriz
139,turk telekoma gecmeyi dusununlerin dikkatine sariyer subenize defa gidip defa olmus babamin hattini iptal icin dilekce verdigim halde tum belgeler tam hat hala calisiyor call centerdan surekli telefon aliyoruz parayi odememiz gerektigine dair vefat etmis olan yakinima hassasiyet gostermemenizi gectim yasal olarak verdigim dilekceyi defa kabul etmeyerek olmus insanin kullan madigi hatta fatura kesmeye devam ediyorsunuz call center sube sorumluluk aliyor ikisi birbirine yonlendiriyor hicbir sey icin tesekkur ederim facebookta boyle seyler paylasacak insanlardan olacagimi dusunmezdim ama musteri memnuniyetine vermediginiz degeri insanlar gorsun istedim saygilar
140,"""sebepsiz yere bakiyesini düşüreyim de üzülsün fakir."" -turkcell"
141,oda bisey fiberlioz ama videoyu izlerken bile takilio
142,tesekkur ederim
143,talebiniz ilgili ekiplere iletilmistir kisa sure icerisinde sizinle irtibata gecilecektir
144,konferans internetten yayınlanacak mı?
145,saate yakin oynanis suresi var neresi kisa
146,ne berbati arkadasim ondan guzel renk varmi hayat verir evinize hayat insana hayat veren kan kansiz hadi yasa bakalim kaninin rengi kirmizi evin icindeki dekorsda hayat verir koy bak sen onu mutfagina neler oluyor
147,selocan ile kumru form ortaköy .....
148,superonline var bende telefonu tusluyosun baglanio 96 model.cay yapana kadar google'a girio.9 maclarina sabah bakiorum ben
149,turkcell yedek
150,"turkcell ici 600. hepsini sana ve anneme harcayacağım, merak etme. :d."
151,isinize gelmiyor tabi hemen kopyala yapistir merhaba tarafiniza detayli bilgi verebilmemiz icin numaranizi mesaj bolumu uzerinden iletmenizi rica ederiz adam gibi cevap verin
152,turkcell mı? nasıl yetiyor mu 250mb
153,merhaba cep telefonu numaranizi mesaj iletmeniz durumunda konu hakkinda gerekli incelemeler yapilarak kisa sure icerisinde tarafiniza bilgi verilecektir
154,merhaba cep telefonu numaranizi mesaj iletmeniz durumunda konu hakkinda gerekli incelemeler yapilarak kisa sure icerisinde tarafiniza bilgi verilecektir
155,ben cevap vermiştim aynı durumu senin için dusunuyordum bu turkcell aramızı acıcak ! :)
156,hakan sukur guney kore maci
157,helal olsun vestele dunya markasi yerli mali yurdun mali tesekkurler vestele
158,ay aynısı başıma geldi yaaaa...az önce yazdım hatta tcell yurtdışı internette fena kazıklıyo diye:/
159,ne fiberi once tamamlayin baska sey istemiyorum dumduz alanda tel cekmiyor once aradim duzelticez dediniz hala bekliyorum netinden hayr gordukki telinden gorelim zaten
160,ben teknosadan casper gold aldim gayet iyi guzel
161,valla akin bey gundur fatura bekliyorum yil gerisini istemedim gecen yilin faturasi lakin donus olmadi musteri hizmetleri aradi bizde kaydiniz gozukmuyor diyo kredi karti ekstremde teknosa yaziyo elimde telefonun kutusuda var goktende inmedigine gore sizden aldim bunu dedim kaydim var fatura var eger aksama kadar fatura cikmazsa ortaya tuketici haklariyla kalmayacagim ilgili butun yerlere sikayetimi olusturacagim
162,ama hayat paylaşınca güzel lazım yani:d
163,internet sozde internet ama daha baska seylere benziyor
164,"valla haklisiniz, turkcell d(g)ört çeker !!!"
165,herkes bilsin turk telekom istanbulun merkezinde kagithane gundur telefon internet hizmeti verememektedir
166,superonline internet mi ?
167,merhaba konu hakkinda sizinle iletisime gecebilmemiz icin cep telefonu numaranizi facebook mesaj iletmenizi rica ederiz
168,merhaba konu hakkinda sizinle iletisime gecebilmemiz icin cep telefonu numaranizi facebook mesaj iletmenizi rica ederiz
169,ben sevinmegimden gun uyumadim kizimi izledim seviyorum cokkkk
170,ben her urununu kullaniyorum harika memnunum hem kaliteli hemde uygun
171,acikcasi yorumunuza guldum yorumum hangi cumlesi bilgi almak istemeye yonelik merak ettim yukarida sikayetci isek kullanmayalim iptal ettirelim diyor ben tabiiki kadar sikayet varken ben memnun degilken gidip iptal ettirdim siz yaziyi ben size haril haril ulasmaya calisirken soracaktiniz ayrica ttnet bile olsaniz icinde modem kablo sorunlari gidermek artik parayla olmus bence ulkede bile kaldiniz yeter
172,merhaba hatice erten vestel mutlu lezzetler atolyesi zorlu center avm bulunan eataly istanbul duzenlenecektir iyi gunler dileriz
173,kirmiziya hastayim severim dostlarim bilirler evdeki dolabimda kirmizi ariston marka eskisin yine kirmizi alicam sefer vestel olabilir cooook begendim haahaaa
174,mesajsa turkcell arayansa annemdir. cok yalnizim yaa hayat cok acimasiz :(
175,daha cevabi yazali yarim saat oldu turk telekom musterilerine muhakkak yanit verir
176,merhaba size ulasabilecegimiz irtibat numaranizi mesajla paylasabilir misiniz
177,yalancıların reklam panosu gibisin
178,bu zikim keske kalksa hem cabuk doluyr hem dolunca baglanmak icin cani cikiyor cepte
179,hadi bakalim
180,arkadaslar birakin sehrin gobegini falan baz istasyonu evimin metre ilerisinde yine cekmiyo daha internetimi hic katmiyorum hesaba nasil rezil hattir yaa bide fiber gucu diyip milleti kandiriyolar
181,oha yeni yüklediğim araba yarısını çok sevdim lan ilk defa hemen 10 arabadan 1.lige geçebildim azıcık zor da olsa sağol turkcell!
182,o degilde reklam kral olmus
183,turkcell cihaz satışlarını yarın durduracakmış diyolar
184,iphone yerine iphone slx deseydiler daha iyi olurdu
185,oyuncu kulakliklari mevcudmu
186,ronaldoya hiz lazim
187,arkadas turk telekom yazisini gordugumden beri internette harcadigim zamaninin birinde internet baglantisi aktif kere sim kart degistirmeye gittik reklamda bangir bangir bagirmaniza ragmen suanda calismalar suruyor laflari hayir yalanda sizde hizmet kalitesizligide niye aveaya isminizi verip aveadaki kullanicilarinizdan oluyor sunum
188,tc ugur kardesim calinan yer belli yoksa sadece soylenti bizim pinar tada ayni soylenti var eger dogru ise yandik gecenki gibi yine doserler hirsiz serefsizler yine calar koca sirket onlem alamiyormu bunlara
189,telefon getirsek olurmu
190,kolay gelsin iyi yayinlar
191,00.00 da turkcell mesaj attı. beni sevdiğini biliyordum.
192,merhaba konu hakkinda sizinle iletisime gecebilmemiz icin cep telefonu numaranizi facebook mesaj iletmenizi rica ederiz
193,evet mesela benim bulundugum ulkede hic yok
194,yahu hat sehir merkezinde kesiliyor internet desen zaten yavas yapmayin yaw
195,yahu bende oyleydim onceden woops vardi taahatutlu sonra tahattut bitneden buna gectim indirim yapacaklardi girdirdiler laaaaan avea turk telekom cevap verin laaaaaaan
196,2012 ayvalık'ında turkcell çekmiyor
197,talihsiz seruvenler dizisi pesimi brakmio; trcell disi nolari arayamiorum; sen istedîîn zmn arar misin beklicem 'bieb'y ;)
198,bugün gds sınavı var.evet var ve ben daha yeni çalısmaya basladım. hayat paylasınca güzel
199,yeni laptop ile superonline bağlanınca görecem seni :d
200,ama inanin sinir oldum kizim kucuk durmuyor agli yordu kisi calisan durmuslar liralik sanirim telefoonu bayana musteriye yani anlatiyorlar hani diyorum biriniz anlatir ken ben alim gidim yok efendim islem deymis bayan oarada orda yine calisan bey rica etti kizimin durmadini agladini gorrekten ama kasiyer hanim ben sitemli konusmam bekliycek musim siram gelin ceynis ama kizim inanin uzuldu sinirle ciktim gicikgitti resmen buna hakki yoktu sinir oldum inanin isi kolaylastirmak yerine musteriyle gicik gitmek ya
201,hatti degistirdim kampanyadan yararlanamiyormusun gelen mesaj sozde hatti degistirene net hediye
202,merhaba belirttiginiz urunle ilgili detayli bilgiye adresimizden ulasabilirsiniz ilginize tesekkur ederiz
203,4 çeker diye reklam yapıp dogan görünümlü sahin kıvamında kalansin
204,yaptıgın ıs ıs degıl. adam 2 ıphone alacak dıye benden sonra gelmesıne ragmen ben bekletılıyorum suyun ısınıyor ha
205,merhaba hizi cihaz cografi bolge hizmet alinan baz istasyonu sebeke yogunlugu teknolojik altyapiya gore farklilik gosterebilir kapsama haritasina iletmis oldugumuz baglantidan ulasabilirsiniz
206,merhaba gaye semiz gitti gidiyora sordum ekim aralik arasida gecerli olacakmis uzeri alisveriste gecerli olacakmis
207,merhaba belirttiginiz urunle ilgili detayli bilgiye adresimizden ulasabilirsiniz ilginize tesekkur ederiz
208,hediye koymayacaksanizda azindan anahtarlik veya kumbara olabilir koysanizda puanlar bosa gitmese
209,kazandiginiz para
210,ilk once cekim gucunu yukseltin istanbuldayim telefon cekmiyor bile doya doya kullanamadik
211,merhaba tarafiniza detayli bilgi verebilmemiz icin numaranizi mesaj bolumu uzerinden iletmenizi rica ederiz
212,turkcell'ın mağaza mudurundende böyle bir cvp gelmesi gayet dogal tabıkı.. =))
213,reklamda oldugu gibi zengin anca kullanir d
214,tesekkur ederim babam icin
215,sagol turkcell sen uyarmasan cekilisle bmw kazandigima inanacaktim.
216,bu markayi seviyorum
217,tum ttnet musterilerine uyarimdir ttnet kampanya icin telefon aldim beri tivibu uyeligim oldugu ttnet faturama yansitildigi bildirildi ttnet uyeligim basladiginda tivibu uyeligi hediye etmisler sonra iptal edilmezse her uyelik ucreti aliyorlarmis sozlesmelerinde yaziyormus konuda hicbir bilgi almadim nevi hirsizlik lutfen uyeliginizi arastirin devlet kurumu bunu nasil yapar dupeduz hirsizliktir lutfen bilginiz dahilinde olup olmadigini kontrol ediniz ttnet ayiptir kurus icin kurum kadar ayaklar altina alir kendini
218,merhaba konu hakkinda sizinle iletisime gecebilmemiz icin cep telefonu numaranizi facebook mesaj iletmenizi rica ederiz
219,turk telekom yetkililerine aydir cep telefonuma tekno kumbara kampanyasi hakkinda bilgi mesaji geliyor mart puanlar silinecektir diye sayfaya giriyorum alabilecegim tane adam akilli urun yok konusma internet sms var benim gibi binlerce insan var puanini biriktirip duzgun sey almak isteyen ben yila kadar puanimi kullanmadim biriktirdim fakat karsima cikan urunlerle resmen kullaniciyla dalga geciyorsunuz siz musteriletinize verdiginiz degeri saygiyi gosteriyor sizin nezdinizde sizleri kiniyorum
220,turkiyenin her tarafinda fiber altyapisi yok ankaraya mesafede olan kirikkale keskinde bile fiber altyapisi yok
221,nathanim drakem yok
222,ahaha hadi ya öyle mi!.hatta turkcell emotional paketi duymuştum bir de. iltifatlar sevgi sözcükleri vs. atıyo kızlar çin ideal.
223,hatırlıyorum onu gülermisin ağlarmısın sana hayat paylaşınca güzel diyen #turkcell maaşını baya bi paylaşmıştı
224,bu reklami yapan geri zekalilar kadrosu kim acaba ronaldo gibi yildizi getir aptalca reklam yap
225,merhaba cep telefonu numaranizi mesaj iletmeniz durumunda konu hakkinda gerekli incelemeler yapilarak kisa sure icerisinde tarafiniza bilgi verilecektir
226,"sinemaya, cok para gitmesin diye gnctrkcll le gidip 8 tl verirken, filmden once abur cubura 13 tl veren bi ciftiz bence."
227,hic yerde cekmiyor malesef
228,fiber gucu biz anlayamiyoruz acaba arayabiliyorum aranabiliyorum rezillik resmen
229,kayseri form teknosa sakin urun almayin ilgi mali satana kadar beni yaktilar sizlerde yanmayin
230,merhaba konuyla ilgili yardimci olabilmemiz icin iletisim soyad telefon bilgilerinizi ozel mesaj yoluyla paylasabilir misiniz
231,adamlar drone ucuruyo biz kagittan ucak ucuralim hala
232,telefona ozel bisey bu
233,"bana da 159 tl fatura gelmiş, bu ne ya, resmen salak yerine koyuyor adamı  #turkcellesavasim var"
234,sony inc lere lere bakar misin
