,Text,Label
81,bugun superonline musteri hizmetlerini arayip churn + avantajli kampanya paketlerini soracagim. artik ttnet'e para bayilmaya son ..,1
82,"kendimi devamlı""hayat paylaşınca güzel la la la la la"" şarkısını söylerken buluyorum. durumum içler acısı gibi..",1
83,"tüm müzik ihtiyaçlarınızın (dinleme, indirme, keşfetme vb.) turkcell kalitesiyle tek bir uygulamada toplanmış olması fena mı? :)",1
84,murat erkan: ''turkcell superonline olarak misyonumuz operatörlerin operatörü olmak.'',1
85,abi gnctrkcll 2 bilet 8tl mi yaptın ? pazartesi sinemaya gittiğine göre :d,1
86,#yeniyildanistegim yeni yıl tadim ve turkcell reklamındaki gibi olsun :),1
87,çok iyi tanırım kendisini.turkcell tim gürhan abi dedinmi bende akan sular durur.#turkcelltimgurhanabiyitanıyaninsanlartanıyorum.,1
88,musterisine en cok alaka gosteren gsm operatoru  den cayma bedelini ode sonra istedigin operatorde surunmeye basla.,1
89,benim dikkatimi turkcell cekti huyumdan sanirim hep zirvedekiler dikkatimi ceker ve  takip ederim:),1
90,turkcell superonline,1
91,turkcell kendini aşmış,1
92,twitter ile bağlan hayata hayata bağlan twitter ile :d,1
93,superonline fiber internet hizmeti adresinizde varsa tavsiye ederim cok hizli hesapli kesilmiyor ve kimse aramiyor bu arada ++,1
94,oturduğun yerde fiber bağlantı varsa süperonline,1
95,"reklamı görünce paylaşayımdedim "" hayat paylaşınca güzel "" :))",1
96,turkcell beni sesimden tanir.,1
97,muhendisler fibernet yaratti olm 20mbit 49 superonline :),1
98,bu kez de çok kaliteli olmuş :),1
99,turkcell haydi gel paketi.. enfes..,1
100,"busefer kazanan ben oldum bak turkcell.aksam 9 sabah 6,120tl bedava vermissin.hicte uyku saatim degil.carcur ettik daha da edicez bil yani",1
101,"eğer gelmemişse bile, ben trcell superonline'ı kesinlikle öneririm.. re:",1
102,off ne yazık ki turkcell müzik sahensindeki konserinize gelemeyeceğim cunku okulum var off.sizi çoook seviyoruuuuuum!,1
103,benım bedava sms hakkım var turkcell bana yenı yıl hedıyeesınıı erken yollamıss serefsızzz hahahah,1
104,hoşgeldin aramıza. hayata bağlan turkcell'le hazal.,1
105,"pahalı dedim, dışarıdan almak lazım dedim ama olmadı... kayıtla uğraşacağıma turkcell'den istedim 4s'i. keşke 12 aylık seçenek de sunsalar..",1
106,huaweri u8650 yani turkcell t20 o bütçe için en gelişmiş kullanışlı telefon :),1
107,bugün perşembe turkcell sinema günleri ....,1
108,turkcell de bana çok güzel bir kız gibi geliyor vazgecemiyorum :),1
109,"4s'ime kavustum sonunda, eski meslektasim sümeyye öztürk sayesinde, harika bir turkcell calisani:)",1
110,superonline :),1
111,superonline mesela :) evet onda da soru oldu ama ttnet kadar insanı baymıyor,1
112,seni seviyorum turkcell...:) iyi ki varsın...,1
113,i̇novasyonda büyük ödül turkcell'in..bakalim sene hangi firma alacak?,1
114,hahaha turkcell beni seviyo :),1
115,fiber superonline diyorum başka da birşey demiyorum..daha hiç kazığını yemedim :),1
116,"su an iniyor. :) ama 6 saat verdi mkv'ye, derhal daha hizli insin. ya superonline fiber ne guzeldi amk cihangir.",1
117,#mutluyum #mutlusun #mutluyuz ... hayat paylaşınca güzel lalalalaaaa :),1
118,i̇novasyonda büyük ödül turkcell'in,1
119,bir tim calisani  bana kahve ismarliyor :)) tesekkurler  =) ( kahve dünyası),1
120,bu nasıl bi şarkı ya artık favori şarkım :) turkcell'e başvurup bu şarkıyı çalarken dinlet yapıcam :),1
121,3g problemleri icin nereye basvurabiliriz? kayseri/talas erciyes unv. civarı 5 gündür edge. turkcell bile çekiyor yahu :) help..,1
122,blackberry seni o kadar cok seviyorki :) hep seni ariyor. mutluyuz seninle,1
123,cok sukur bb'mi kurtardi turkcell,1
124,"evet, guzel olmus.",1
125,pazarlama i̇lkeleri dersimize konuk olarak öğrencilerimize dijital pazarlama i̇letişimi vizyonu katan   çok teşekkürler,1
126,"doğum günüm için hediyelerim turkcell'den divan'dan pasta,dominos'tan pizzaya indirim.beni özel hissettiren başkaları olmalıydı sanki:)",1
127,30liraya 62tl yukleyen turkcell tesekkurler :d,1
128,e ozaman senin karsına cıkan denyoların türkcell in her yöne msj kampanyasından haberleri yoktu:d:d:d,1
129,bu arada farkettim de hepsi turkcell kullanıyor:),1
130,bu turkcell müzik muhabbetini sevdim :),1
131,kesinlikle superonline tartismasizzzzzzzzzz,1
132,blog ödülleri’nde desteğiniz i̇çin teşekkürler: politik akademi olarak turkcell sponsorluğunda düzenlenen 2011 bl...,1
133,önemli değil cnm..ne demişler hayat paylaşınca güzel:))yazımında kendi çapında bir karakteristiği yok değil:)))teşekkürler:p,1
134,""" turkcell superonline 1 milyon haneye fiber i̇nterneti taşıdı, sabit numara taşımada lider oldu.",1
135,"kurumsal hat kullanmak yerine bireysel faturalı ol daha iyi valla, bireysel faturalı olsaydım turkcell'de simdi samsung galaxy note almıstım",1
136,en iyisi   düşünmen bile vakit kaybı :d,1
137,bugün gds sınavı var.evet var ve ben daha yeni çalısmaya basladım. hayat paylasınca güzel,1
138,her zaman heryerden böyle,1
139,iyi ki ipad 2'yi turkcell'den almışım. cam gibi lig tv her yerde :) teşekkürler,1
140,ganga superonline alsın o yea :d,1
141,turkcell kalitesi.,1
142,"""pahali olunca kaliteli oluyormus"" diyor uyduruk bir operator. ben de parasi neyse veririm, her yerde ceker, konusurum"" diyorum.",1
143,photo: ”dünyaya liderlik eden operatörler”den biri türk turkcell superonline fiber internette dünya lideri...,1
144,"çakma i̇phone4'üm var turkcell 1gb tel i̇nterneti̇m var sabah akşam buradayim süper ne li̇mi̇t ne kesi̇nti̇ ""sağol çi̇n+turkcell""  emekli̇ğe kiyak!!",1
145,"2002 den beri bi insan birine asik olmaz ki? turkcell le saygili,seviyeli ve uzatmali bir iliskim var hep yanimda canim benim ya.",1
146,dıtdıtdırıtdıtt :d of turkcell reklamı aklıma geldi          :d,1
147,"o zaman bi daha sen de öyle davranma, sen ataydın o da iyiydi. hem turkcell neyine yetmiyo :(",1
148,hayat paylaşınca güzel la la laaa laa laaa la laaa ((:,1
149,samsung galaxy tab 10.1 türkiye fiyatı (turkcell kampanyası),1
150,evde superonline var buraya bekleriz,1
151,#turkcellmuzik konser i̇çin çok teşekkürler ! turkcell &amp; manga !,1
152,kötü espiri yapanları seçiyorlar yaw nokiada 3 hafta boyunca ne çektiğimi gördün sn turkcell 15 dakikada hediye etti :),1
153,internet paketim bitmedi. ama bitmesi gerekiyodu? buyuksun turkcell :d,1
154,#turkcell #ozturkmatik reklami allah belanizi vermesin!! vapurda deli gibi guldurdun beni...,1
155,"ohaaa bedava dk kazandim la.canim turkcell.(biri bu ani not etsin,bir daha bunu ayik kafayla demem) onumuzdeki 4 cumartesi 60 dk'm olacak ^^",1
156,vakit bulamama ihtimaline karşın turkcell'den de istedim. yarın gelecek. hızlı okutup detayları kaçırmanı istemem :),1
157,hayat paylaşınca güzel hilal ;) la la la,1
158,gardaşcığım hayat paylaşınca güzel :):),1
159,iş dönüşü nimbuzz la bağlan hayata ;-),1
160,#encoksevdigimsey turkcell ile hayata bağlanmak,1
161,"toplu tasima aracinda ""turkcell bemi sesimden tanır"" cilginliginida yapti ya #pes",1
162,beni unutmayan tek adam turkcell,1
163,dun gecedn beri turkcell mustri hzmetlerndeki kadinla ask yasiyrz sonunda oldu oh be:)),1
164,#3kelimeyle2011 hayat paylaşınca güzel ....  :),1
165,turkcell can faturali canan:):),1
166,"soz verdigi gibi aradi, gorustuk. tesekkurler  umarim en kisa zamanda cozume kavusur sorunumuz",1
167,snn icin gnctrkcll hat alicam ahahaha huzurumsun muah!,1
168,turkcell'le bağlan hayata... turkcell zengin olmasın da kim olsun be,1
169,teşekkürleerr,1
170,turkcell internet sitesinde detayli aciklama var ordan bakabilirsin,1
171,sahanin turkcell reklamlari gercekten cok komik.,1
172,büyük ödül turkcell teknoloji'ye,1
173,"her yerde çeker de, bu hızla 3g hiç çekmese daha iyi. sözleşme biter bitmez back to",1
174,özturkcell reklamı fena komedi,1
175,":)) 1,5 saat ise süper.. normalde atatürkden gidiyorum ama turkcell sunexpress kampanyasından yararlandım ucuza geldi baya :)))",1
176,"turkcell cephesinden hiç beklemiyordum böyle bir telefonu, öneri için çok sağolasın!",1
177,ben memnunum  'den :),1
178,"onu beğendik de bide ,twitter paketi bekliyoruz turkcell den...sınırsız twit",1
179,fiyat basl peki cokmu azmi. alablrzz uygunsaa,1
180,eğer oturduğunuz bolgede varsa superonline fiber net geçmelisiniz.,1
181,bende ödül kazanırsam türkcell reklamlarını seslendirdiginiz stüdyoya gelmek istiyorum siz kayıt yaparken :),1
182,oha turksel bana çalışıyo resmen 487 dakika bedava vermiş :o,1
183,hayat paylaşınca güzel,1
184,belki turkcell le baglansak hayata hersey daha kolay olur:),1
185,""" konseri,bugünsaat15:00'tecanlı yayınla hayat müziği paylaşınca güzel :)",1
186,bu turkcell pusula uygulaması iphone kullanıcıları için büyük nimet. oturduğum yerden nöbetçi eczane kaç metre ötemde bana söylüyor.,1
187,arkadaş tcell de bir kere bile yaşamadığım bu eziyeti vodafone yaşattı bana.. en kısa zamanda tekrar dönücem,1
188,#pazarlamakonferansi turkcell ile yine cok keyifli bir konferans baslamak uzere.,1
189,#osesturkiye nurullh ya insana huzur veriyor sesin,1
190,#pazarlamakonferansi ndayiz bu sabah. turkcell charlene li'yi getirmiş.,1
191,'e yasattigimiz super musteri deneyimi icin onurlu ve gururluyuz. ( turkcell superonline),1
192,pahalısı pahalısı kaliteliymiş:) harika reklam bayılıyorum :)) pahalı olsun turkcell olsun :),1
193,paylaşma muhabbetinden dolayı turkcell'in makarasını yaptım ama vapurda gazete rafı olayı çok iyi oldu. yancılık kurumu hala yaşıyor ama :),1
194,"iyiki varsınız    siz olmasanız mesaj da geleceği yok,telefon özelliğini unutacak nerdeyse. o kadar ki yalnızım:)",1
195,hayat paylaşınca güzel türkselli.,1
196,hayat paylaşinca güzel...geri̇si̇ teferruat...,1
197,nihayet temiz ve akıcı bir canlı yayın izleyebiliyoruz. tebrikler...,1
198,hayat paylaşınca güzel,1
199,"internet ve telefonda superonline 'a transfer oldum.20 mgpt sınırsız  internet 44 tl telefon vergiler dahil 7,5 kr sabit ücret yok",1
200,öyle ama avea igrenc ya. bi kere arkadaslarim turkcelli 10.000 sms fln var. parasi onemli degil turkcell iyi :d,1
201,"çaylar hazır, poğaçalar sıcacık! gazeteler de yanımızda! ohhh miiiisss. hayat paylaşınca güzel la lalalalalalala!",1
202,memnun kaldımda şu turkcell kampanyası tekrar olsun yaw  çok pahalı,1
203,bi turkcell düşünüyo zaten :s,1
204,*hayat paylaşinca güzel!!!,1
205,gördüğm en hızlı turksel müşteri temsilcisisin asıl ben teşekkür ederim :))),1
206,:d kediyi getir gidelim türkcell bayiye :)),1
207,"bu turkcell cok iyi lan.durduk yere mesaj atıyor, kampanyalarıyla mutlu ediyor falan.sevgilim gorup kıskanır umarım.",1
208,divane aşık gibi: türkcell blog ödülleri'nde finaldeyiz,1
209,"dünyaya liderlik eden operatör!: turkcell superonline, türkiye’yi bir kez daha fiber internetin liderleri  arası...",1
210,teşekkür ederim. turkcell üzerinden internete bağlanırken sorun yaşadm da anlam veremedim.. ama geçti.. teşekkürlerr..,1
211,han derlerya hayat paylaşinca güzel ben hayat sevi̇nce güzel..,1
212,turkcell den aradılar iş görüşmesi için yarın cagırdılar geldiye :) aklımda yoktu ama güzel olur gelebilirim,1
213,bratan dj'e gidip suat nerde in asag demek lazimda neyse :d tesekkurler turkcell harika bi gece,1
214,superonline cok iyi,1
215,"20 saatte bir bayi açan, 2 saatte bir baz istasyonu diken ama bir türlü çekemeyen bir operatör varmış. çok acınası çok.  büyüksün",1
216,soğuk ama 1 sıcak kahveye ısınırsın hayat paylaşınca güzel kahvemi paylaşabilirim seninle  &lt;3,1
217,turkcell cvp atmis. knka sitemzden bakabilirsiniz diye :p. ve hala kitaptayim,1
218,bnce süperonline yada smileadsl yap,1
219,oha amk turkcell bana 2 gündürr bedava konusma hakkı gonderiyo yaklaşık 3 saatlk bedava.,1
220,yavrum aldım mesajını da turkcell değil misin ki sen? gitmiyo :/,1
221,"yapacak bişey varsa, bulursan eğer senin durumundakileri de düşünürsün değil mi? ne de olsa hayat paylaşınca güzel :)",1
222,abla cuma günü turkcell muzikte seni canlı canlı internettenmi dinlicez turkcell muzikte olcağını biliyorum ama nasıl olcak?,1
223,turkcell #pazarlamakonferansi charlene li,1
224,#pazarlamakonferansi turkcell akademinin duzenledigi konferansin baslamasini bekliyoruz,1
225,çok basit bir maile bile dönüş yaparak tüm sorularıma cevap veren superonline müşteri hizmetlerini kutluyorum. #supersinsuperonline,1
226,"çin, türkiye ekonomisine olan güvenini,  için verdiği 250 milyon dolarlık krediyle kanıtlamış oldu.",1
227,fena degil,1
228,"valla hacı, superonline var kafam rahat. kusura bakma ama öyle yani̇...",1
229,aa nasi kacirdik yaa!bizim ayibimiz olsun doomgnn kutlu mutlu olsun selocan;)),1
230,"iphone 4s, yine tabi ki sadece turkcell ile türkiye'de.. 16.12.2011 tarihini bekleyin hayat teknolojiyi paylaşınca güzel la la la la la la:)",1
231,istanbul'dan bolu'ya kadar hiç kopmadan internet keyfini bana yaşatan turkcell 3g'ye sonsuz teşekkürler =).. hizmet budur..,1
232,i̇novasyon ödülü 'turkcell'in !,1
233,o zaman sorun yok bende turkcell için iyi bir tarife arıyorum ama ne yapsam karar veremedim fikir versene:),1
234,evet tahmin etmistim bunu :d orda da yok mu bb icin boyle hat kampanyalari ? :/ turkcell europe uygulamaya gecti mi super o zaman,1
235,keciorene superonline fiber cekiyomus...,1
236,i̇novasyonda büyük ödül turkcell'in!,1
237,turkcell partileri herzaman mukemmeldir :) istanbul'da da bizi costurdun ;),1
238,ttnet dusunme bile en iyisi superonline,1
239,canli performansiyla 30 aralik cuma gunu saat 15:00'da turkcell muzik'te!,1
240,"is uretemedikleri ortada.. "" avea'yla vodafone her yerde çekiyor mu bilemem ama ikisinin de turkcell'i hala çekemediği net.""",1
241,bugun turkcell bana kiyak geciyor :),1
242,hayat paylaşınca güzel lalalalalalalalalalaaaaaaaaaaaa :d,1
243,"o zaman neymiş, hayat paylaşınca güzel lallalalllala, paylaşıp çoğalınca güzel lalalallalalala.",1
244,cnm turkcell magazalarnda ve diger telefn magazalarnda satılıo :)),1
245,ev telefonunuzu superonline'a devredin..,1
246,"hayat paylaşınca güzel, la la la laaa la laaaaalaaaa, paylaşıp çoğalınca güzel la ala ala lalaalaa laaaaaaa.. :)))",1
247,ben de  'den kazandım bir tane. bu hafta elime ulaşır sanırım.,1
248,manga turkcell muzik.com'da saat 15:00'te.,1
249,yarına gnctrkcll yok..uykum çok pahalıya geliyo zaman..,1
250,i̇stanbul sanayi odası'na göre 2011'in en inovatif şirketi turkcell teknoloji oldu. tebrikler:),1
251,bos  1 numara !,1
252,hayat paylaşınca güzel...la la la...,1
253,manganın şu anda turkcell internetinde verdigi konserde o kadar olmak isterdim ki yaa herşeyimi verebilirim off offf,1
254,cıkmadan solıyım dun sms yaptiktan sonra baktiim kiiii bedava 100 dk kazanmısım ve arti heryone 300 sms. turkcell sms yapmami bekliyomus.,1
255,oha yeni yüklediğim araba yarısını çok sevdim lan ilk defa hemen 10 arabadan 1.lige geçebildim azıcık zor da olsa sağol turkcell!,1
256,sayfamızı begenen 80.müşterimize turkcell'den 1 aylık facebook paketi pda store'dan bedava,1
257,"sinemaya, cok para gitmesin diye gnctrkcll le gidip 8 tl verirken, filmden once abur cubura 13 tl veren bi ciftiz bence.",1
258,2011 turkcell blog ödülleri'nde ilk 3'te yokuz. dilimin ayarı yok'u 143 blog arasından ilk 10'a taşıyan herkese çok teşekkürler... :)),1
259,gnctrkcll kullanabilsek iyiydi :),1
260,turkcell 97 liraya veriyor...boş verin aveayı turkcellden alın =),1
261,"sahan gokbakarin oynadigi yeni turkcell reklami baya iyi. very sweet you, very beautiful",1
262,burda da turkcell olaydi iyiydi.,1
263,selam yeniden haxball. canını yiyeyim turkcell superonline.,1
264,sabah 7.30dan itibaren tekrar turkcell'm bilginizee :),1
265,millet hat degistirelim =) numarasını migros’da turkcell’e taşıyan veya yeni faturalı hat alana 50tl bedava alışveriş,1
266,evde olup tv karsisinda oturmak bence en guzeliii bulma kimseleri hic :) ben turkcell de calisiyorum :),1
267,tweetlerini sabahtan beri toplayamadığım odamdan takip ediyorum ve diyorum ki hayat 140 karakteri paylaşınca güzel.,1
268,dünden beri turkcell'i arayıp internet paketi yaptıracaktım ama nasıl bir üşenmeyse bu hala yapamadım gitti.,1
269,o değil de yeniden para yüklemeden genç avantaja mı geçsem? ama turkcell kalitesi... ama internet... of aman ya!,1
270,günaydın selocan :),1
271,vodafone mu :/ ama herkes turkcell,1
272,emme benimki turkcell olanlar düşünsün:))),1
273,"superonline geç ;) alt yapı varsa sizin oralarda bence fiber internet al, internet neymiş görüceksin ;)",1
274,benim tekrar turkcell'e geçesim var. böyle kendimi çok yalnız hissediyorum kimse mesaj atmıyo artık :(,1
275,benim için turkcell ve diğerleri.. turkcell babamın oğluymuş gibi nie savunuyosam,1
276,sormayın yaa! hata ettim sanırım. neyse ki taahhüdüm yok. geçerim tekrar turkcell'e... :),1
277,perşembe de bizim olsun malum #gnctrkcll cuma sabahı hallederiz :),1
278,"cok temiz kampanya! turkcell sirket hatti kullanicilarina dry centerda 3 parca kuru temizleme sadece 19,90tl! en temizi turkcell i birakmak!",1
279,hayat paylaşınca güzel:)))),1
280,aynen bende sırf bıs yuzunden tcell kullanıyorum:),1
281,hayat paylaşınca güzel:),1
282,bence direk al ayni gun aciliyor we turkcel cok dha awantajli,1
283,"önce avea'ydım turkcell'e geçtim.sonra avea oldum,şimdi bir daha turkcell'e geçmek istiyorum maşallah :d",1
284,#vodafone yeterince başarılı olabildi mi bilmiorum ama #turkcell'den daha sinir bozucu reklam yapabilmekte epey başarılılar  orası net..,1
285,turkcell.in böle bi kıyak geçeceği aklımın ucundan geçmezdi,1
286,bu hıza alıştık biz... 2 haftadır 1 adsl başvurusunu alamayan #ttnet 'den kurtulmanın yolu var mı? superonline bize fiber çeksene!,1
287,özturkcell den şaşma kardeşim gerisi yalan :),1
288,#hayatpaylasincaguzel turkcell 14. itu sektör günlerinde #ituemk,1
289,"oyle huzurluyum ki, turkcell bile ariza cikarmadi bu kez, o derece! :))",1
290,superonline bağlatmalısın en hızlısı o yapabilsem bende anında ona geçicem ama şu taahhüt illeti yok mu çok fena :(,1
291,kontör aldim aninda 7 tl aldi bu turkcell ! neyse internet paketim yenilenmis oldu iyi iyi :),1
292,mutlu keyi̇fli̇ pazarlar i̇zmi̇r....unutmayin hayat paylaşinca güzel...,1
293,#turkcellfestival turkcell'in canlı konser için model seçimi çok başarılı olmuş!!! şarkı sözleri de sound da çok iyi. aynen devam model!,1
294,turkcelle bağlan hayata hayata bağlan turkcelle,1
295,öğrencilere ayak uydurmak amacıyla mesaj atarak iletişime geçen sayın hocam ama siz turkcell değilsniz üzgünüm.,1
296,hayat paylasinca guzel ;))),1
297,can sıkıntısından ölmek üzereyim. turkcell-im mi ne varya onun gibi birşey gelsede kurtulsam...,1
298,tamamdr baby turkcelle bağlan hayata :)),1
299,şener şen ceza olgun şi̇mşek binnur kaya    sana söylüyorum bu firmanın reklamına çıkmayın yaşasin,1
300,turkcell'in premium musterisi olmamama ragmen cihaz temini icin gostermis oldugunuz ozel ilgiden dolayi cok tesekkur ederim.,1
301,"""hayat paylaşınca güzel"" günaydınlarrrrrrrrrrrr :)))",1
302,hadı hep bırlıkte ıphone 4 e gecelım   bıze sponsor olsun :),1
303,#gelecektekisevgiliyenot ; şuan bu yazıyı okudugunu biliyorum hatta telefonda mesajlaşıyoruz çok güzel hayat paylasınca güzel lalala lalala,1
304,#osesturkiye de turkcell sponsorlugunun dibine vurulmus .. gormeyen kalmadi o sunucudan buyuk gnctrkcll yazisini,1
305,"i̇leride belediyede işe girersem turkcell'in ' belediye paketini  alırım kesin,çok sağlam..",1
306,valla ben tarifem neyse onu oduyorum turkcellden de gayet memnunum yillardir turkcelliyim...,1
307,"en sevdiğim şarkı kubat'ın hayat paylaşınca güzel şarkısı. en son aldığım albüm, kubat'ın ""hayat paylaşınca güzel"" albümü.",1
308,özturkcell e geciş yap ;) :))),1
